url,sha256,fetched_at,county,year,doc_type,local_path,http_status,content_type,bytes,note
https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,,2026-09-19T12:05:56+00:00,essex,2022,sample_ballot,,404,text/html,,
https://www.essexclerk.com/_Content/pdf/Elect%20Information/Essex-Sample-Ballots-2022g-Alphabetical.pdf,,2026-09-19T12:06:14+00:00,essex,2022,sample_ballot,,404,text/html,,
https://web.archive.org/web/20230923012636id_/https://www.morriscountyclerk.org/files/sharedassets/clerk/v/19/elections/past-results/2022-general-school-candidates.pdf,0295186ce25ffe4d725659bc817b6d6f284596e86a32050984df927f68e026d7,2026-09-21T12:00:39+00:00,morris,2022,candidate_list,cache/morris/2022/school-board-candidates.pdf,200,application/pdf,222378,via web.archive.org; original: https://www.morriscountyclerk.org/files/sharedassets/clerk/v/19/elections/past-results/2022-general-school-candidates.pdf
https://web.archive.org/web/20221104130109id_/https://www.capemaycountyvotes.com/wp-content/uploads/2022/10/22-Sample-General-CM-Web-Final.pdf,ba9266e2969f1a765b4ef6c9545b6aa05b8ed2450e769b71372b60b7aa891c16,2026-09-21T12:04:06+00:00,cape-may,2022,sample_ballot,cache/cape-may/2022/sample-ballots.pdf,200,application/pdf,8337105,via web.archive.org; original: https://www.capemaycountyvotes.com/wp-content/uploads/2022/10/22-Sample-General-CM-Web-Final.pdf
