url,sha256,fetched_at,county,year,doc_type,local_path,http_status,content_type,bytes,note
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2025/Bergenfield-Gen25.pdf,3455775bc837078170f43cafbb2ce6636fa5e255463e5a6959d5bab8e3e625d9,2026-09-19T12:06:45+00:00,bergen,2025,sample_ballot,cache/bergen/2025/bergenfield.pdf,200,application/pdf,409654,Bergenfield
https://www.co.hunterdon.nj.us/DocumentCenter/View/12466/UnOfficial-School-Board-Candidates-2023-filed-candidates-PDF,a8c397cbec1d1ad51cf484543d8b87a4eecd81957709f5507a60773ecd09966a,2026-09-19T12:24:47+00:00,hunterdon,2023,candidate_list,cache/hunterdon/2023/school-board-candidates.pdf,,,182330,"held, not re-fetched"
https://www.co.hunterdon.nj.us/DocumentCenter/View/15174/UnOfficial--School-Board-Candidates-2024-PDF,e5ca9e9cbd5f7d11d73d8c944335511bbe95ea5dabcc12b39a90d5d5eacc1cb1,2026-09-19T12:24:47+00:00,hunterdon,2024,candidate_list,cache/hunterdon/2024/school-board-candidates.pdf,,,225165,"held, not re-fetched"
https://www.co.hunterdon.nj.us/DocumentCenter/View/17067,432da6c95e79d76c30904382e7c2e6c63600054aef2d2f4a80bebe944e37d70d,2026-09-19T12:24:47+00:00,hunterdon,2025,offices_notice,cache/hunterdon/2025/offices-up-notice.pdf,,,144047,"held, not re-fetched"
https://www.co.hunterdon.nj.us/DocumentCenter/View/17436/UnOfficial-School-Board-Candidates-2025-PDF,2c139cbdff3010a38cae2b106d998b42f668b910ea6c5b8574df1705d644e994,2026-09-19T12:24:47+00:00,hunterdon,2025,candidate_list,cache/hunterdon/2025/school-board-candidates.pdf,,,218422,"held, not re-fetched"
https://www.co.hunterdon.nj.us/DocumentCenter/View/20403/UnOfficial-School-Board-Candidates-2026-PDF,62c5e22a76977e7e95e55fdb6eca9c471d219c22eaece0d721f561fce1b8df49,2026-09-19T12:24:47+00:00,hunterdon,2026,candidate_list,cache/hunterdon/2026/school-board-candidates.pdf,,,201736,"held, not re-fetched"
https://www.co.hunterdon.nj.us/DocumentCenter/View/17067,432da6c95e79d76c30904382e7c2e6c63600054aef2d2f4a80bebe944e37d70d,2026-09-19T12:33:58+00:00,hunterdon,2025,seats_notice,cache/hunterdon/2025/seats-notice.pdf,200,application/pdf,144047,
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Bogota.pdf,79aa8b596365db7a3bb1d46df2792825da3ac75c823a4c1df00fe9c58b098742,2026-09-20T10:14:43+00:00,bergen,2023,sample_ballot,cache/bergen/2023/bogota.pdf,200,application/pdf,387544,Bogota
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Carlstadt.pdf,6b416a86ca2f9e2a604d2fcfe74e15dfc14caff7bf197f955f3e4021a57d3f9a,2026-09-20T10:14:45+00:00,bergen,2023,sample_ballot,cache/bergen/2023/carlstadt.pdf,200,application/pdf,517175,Carlstadt
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/CliffsidePark.pdf,4ade5f78717901358ea3f48364f721a5c520f9c28a0f7be3b859666a077c348a,2026-09-20T10:14:46+00:00,bergen,2023,sample_ballot,cache/bergen/2023/cliffside-park.pdf,200,application/pdf,380434,Cliffside-Park
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Closter.pdf,b27c4c5c09759d841cc71419ecfd5780a719a684f435f2f3f074184680717d47,2026-09-20T10:14:48+00:00,bergen,2023,sample_ballot,cache/bergen/2023/closter.pdf,200,application/pdf,386935,Closter
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Cresskill.pdf,9de61894cd4d91a1002f19d0c1241709540eae710f3667456f683ccd8b4f7682,2026-09-20T10:14:49+00:00,bergen,2023,sample_ballot,cache/bergen/2023/cresskill.pdf,200,application/pdf,387897,Cresskill
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Demarest.pdf,a9be69753370abed588dfe7d5502a4cb27e3093ebc75f8cf2b4f31020e9a636f,2026-09-20T10:14:50+00:00,bergen,2023,sample_ballot,cache/bergen/2023/demarest.pdf,200,application/pdf,386133,Demarest
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Dumont.pdf,1814a415eae6045f326db86b61ef158dd86ffbdc43ad2114bb3c532de8371be2,2026-09-20T10:14:52+00:00,bergen,2023,sample_ballot,cache/bergen/2023/dumont.pdf,200,application/pdf,386297,Dumont
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/EastRutherford.pdf,d245e555be44a50e9e5ddc54da50a8a3799d681ae80da6ef8e68a63701a6c5fd,2026-09-20T10:14:53+00:00,bergen,2023,sample_ballot,cache/bergen/2023/east-rutherford.pdf,200,application/pdf,388707,East-Rutherford
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Edgewater.pdf,bf76963325bf384d2de4d099d7a25e89e58e299a55d63d22b09d0a240356272d,2026-09-20T10:14:54+00:00,bergen,2023,sample_ballot,cache/bergen/2023/edgewater.pdf,200,application/pdf,386308,Edgewater
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Elmwoodpark.pdf,44554d113f947b330b0cf581f7fb32be0aa26a78190d48abe3d834603a006336,2026-09-20T10:14:56+00:00,bergen,2023,sample_ballot,cache/bergen/2023/elmwood-park.pdf,200,application/pdf,388585,Elmwood-Park
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Emerson.pdf,3cfbea03ddb7317f8a68777c2d2ccd742adee95ae6acf2e7ff27f05f028e6ddc,2026-09-20T10:14:57+00:00,bergen,2023,sample_ballot,cache/bergen/2023/emerson.pdf,200,application/pdf,386122,Emerson
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Englewood.pdf,279792c13dbc60f6df42200fc368d43c3fa14a9fb4ef47d53b8eb4de6d9ca39d,2026-09-20T10:15:00+00:00,bergen,2023,sample_ballot,cache/bergen/2023/englewood.pdf,200,application/pdf,1125967,Englewood
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/EnglewoodCliffs.pdf,,2026-09-20T10:15:01+00:00,bergen,2023,sample_ballot,,404,text/html,,Englewood-Cliffs
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/FairLawn.pdf,aad5e831faa914f76fd9ab6d4599b7d9f2f6bd1b3b9900df0b5750792ecb90be,2026-09-20T10:15:02+00:00,bergen,2023,sample_ballot,cache/bergen/2023/fair-lawn.pdf,200,application/pdf,386504,Fair-Lawn
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Fairview.pdf,3626c9d190322e3f01dcb98362144891704f903e7dcaea90e7ecacb1a4384746,2026-09-20T10:15:04+00:00,bergen,2023,sample_ballot,cache/bergen/2023/fairview.pdf,200,application/pdf,382083,Fairview
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/FortLee.pdf,988fbfacc7a525ad2e93aefe9c0e2869455bc8ff41c2f139afbeb5588354d8b3,2026-09-20T10:15:05+00:00,bergen,2023,sample_ballot,cache/bergen/2023/fort-lee.pdf,200,application/pdf,388060,Fort-Lee
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/FranklinLakes.pdf,e7dcbfdf957a991d4fb20a8e6abf5d26bcdaaeaff12a5e615c68f732289baff5,2026-09-20T10:15:07+00:00,bergen,2023,sample_ballot,cache/bergen/2023/franklin-lakes.pdf,200,application/pdf,409578,Franklin-Lakes
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Garfield.pdf,9e99ac8d93f8084c9121d2fe2ba96b2e1eef972cb2f97df36fa82aeed7eecca5,2026-09-20T10:15:08+00:00,bergen,2023,sample_ballot,cache/bergen/2023/garfield.pdf,200,application/pdf,386013,Garfield
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/GlenRock.pdf,58d3ae2f5560efcffe19f7ffe4833d9a77c847b90102f9ef89174c9905dd78f9,2026-09-20T10:15:10+00:00,bergen,2023,sample_ballot,cache/bergen/2023/glen-rock.pdf,200,application/pdf,386958,Glen-Rock
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Hackensack.pdf,1b31e1a55b022e3a37323aa28a71d13f41648bba46fe052413cb1db230d064f1,2026-09-20T10:15:12+00:00,bergen,2023,sample_ballot,cache/bergen/2023/hackensack.pdf,200,application/pdf,526427,Hackensack
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/HarringtonPark.pdf,3e6efb24b613173f0b18d1456a70a40e36e6f98d554b739021edf9321007732c,2026-09-20T10:15:13+00:00,bergen,2023,sample_ballot,cache/bergen/2023/harrington-park.pdf,200,application/pdf,388580,Harrington-Park
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/HasbrouckHeights.pdf,0b0551c66cc0a1b25b8149c68b688c46c726ea9621e86303c7832f37df019a5d,2026-09-20T10:15:15+00:00,bergen,2023,sample_ballot,cache/bergen/2023/hasbrouck-heights.pdf,200,application/pdf,388086,Hasbrouck-Heights
https://www.bergencountyclerk.gov/_Content/pdf/voting/sample-ballots/2023/Haworth.pdf,44602be69ee15ec9fc701e6c79369542ce92bc515cb343cb2669ec7201c73c53,2026-09-20T10:15:16+00:00,bergen,2023,sample_ballot,cache/bergen/2023/haworth.pdf,200,application/pdf,387220,Haworth
